datetime,new_cases,total_cases,source,date,time
2020-03-07 09:00:00,,228,Web_200307_Epidemiologische Lage Schweiz_DE.pdf,2020-03-07 00:00:00,09:00:00
2020-03-08 09:30:00,53.0,281,Web_200308_Epidemiologische Lage Schweiz_DE.pdf,2020-03-08 00:00:00,09:30:00
2020-03-09 08:00:00,31.0,312,Web_200309_Epidemiologische Lage Schweiz_DE.pdf,2020-03-09 00:00:00,08:00:00
2020-03-10 09:30:00,179.0,491,Web_200310_Epidemiologische Lage Schweiz_DE.pdf,2020-03-10 00:00:00,09:30:00
2020-03-11 08:30:00,154.0,645,Web_200311_Epidemiologische Lage Schweiz_DE.pdf,2020-03-11 00:00:00,08:30:00
2020-03-12 08:00:00,213.0,858,Web_200312_Epidemiologische Lage Schweiz_DE.pdf,2020-03-12 00:00:00,08:00:00
2020-03-13 08:30:00,267.0,1125,Web_200313_Epidemiologische Lage Schweiz_DE.pdf,2020-03-13 00:00:00,08:30:00
2020-03-14 08:30:00,234.0,1359,Web_200314_Epidemiologische Lage Schweiz_DE.pdf,2020-03-14 00:00:00,08:30:00
2020-03-15 10:40:00,204.0,1563,Web_200315_Epidemiologische Lage Schweiz_DE.pdf,2020-03-15 00:00:00,10:40:00
2020-03-16 07:30:00,117.0,1680,Web_200316_Epidemiologische Lage Schweiz_DE.pdf,2020-03-16 00:00:00,07:30:00
2020-03-17 08:10:00,589.0,2269,Web_200317_Epidemiologische Lage Schweiz_DE.pdf,2020-03-17 00:00:00,08:10:00
2020-03-18 08:15:00,503.0,2772,Web_200318_Epidemiologische Lage Schweiz_DE.pdf,2020-03-18 00:00:00,08:15:00
2020-03-19 08:00:00,666.0,3438,Web_200319_Epidemiologische Lage Schweiz_DE.pdf,2020-03-19 00:00:00,08:00:00
2020-03-20 08:00:00,738.0,4176,Web_200320_Epidemiologische Lage Schweiz_DE.pdf,2020-03-20 00:00:00,08:00:00
2020-03-21 08:15:00,1937.0,6113,Web_200321_Epidemiologische Lage Schweiz_DE.pdf,2020-03-21 00:00:00,08:15:00
2020-03-22 08:07:00,901.0,7014,Web_200322_Epidemiologische Lage Schweiz_DE.pdf,2020-03-22 00:00:00,08:07:00
